year,name,house,pop,old65
2014,합계,4194176,10369593,1221616
2014,종로구,73101,165344,24537
2014,중구,59960,136227,19960
2014,용산구,108429,249914,34896
2014,성동구,125814,303891,36684
2014,광진구,158524,377375,38974
2014,동대문구,159880,376319,50915
2014,중랑구,176714,423411,51995
2014,성북구,193359,475961,62066
2014,강북구,141246,338410,50841
2014,도봉구,136977,355712,46471
2014,노원구,221107,586056,66480
2014,은평구,202187,503243,67002
2014,서대문구,134780,320861,45309
2014,마포구,169492,395830,47360
2014,양천구,179069,490708,48175
2014,강서구,234378,591653,64287
2014,구로구,172594,457131,51187
2014,금천구,103940,258030,29553
2014,영등포구,168100,421436,49829
2014,동작구,172389,419261,52327
2014,관악구,248180,531960,62577
2014,서초구,173469,454288,47469
2014,강남구,237375,583446,57444
2014,송파구,257207,671794,65025
2014,강동구,185905,481332,50253
2015,합계,4189948,10297138,1267563
2015,종로구,72645,163822,24892
2015,중구,59321,134329,20302
2015,용산구,107512,247909,35715
2015,성동구,126714,305065,38164
2015,광진구,158353,375180,40368
2015,동대문구,159941,373824,52490
2015,중랑구,176390,418620,54095
2015,성북구,190973,469560,63281
2015,강북구,141088,334426,52598
2015,도봉구,136903,353241,48590
2015,노원구,219768,578221,68909
2015,은평구,203410,502578,69753
2015,서대문구,135770,323105,46758
2015,마포구,171480,398351,48598
2015,양천구,179512,489010,50398
2015,강서구,238952,595691,67950
2015,구로구,172321,454604,53719
2015,금천구,103847,256167,31070
2015,영등포구,167863,417811,51481
2015,동작구,170495,412774,53610
2015,관악구,249191,529031,64985
2015,서초구,173007,451258,49280
2015,강남구,237373,581760,60330
2015,송파구,256611,667480,68292
2015,강동구,180508,463321,51935
2016,합계,4189839,10204057,1300877
2016,종로구,72118,161922,25091
2016,중구,59651,134409,20606
2016,용산구,106607,245102,35915
2016,성동구,128727,307161,39262
2016,광진구,158390,372104,41441
2016,동대문구,159426,370312,53460
2016,중랑구,177400,415677,55914
2016,성북구,188304,461617,64015
2016,강북구,141229,330704,54053
2016,도봉구,136898,350272,50510
2016,노원구,219736,571212,70887
2016,은평구,201891,495937,71457
2016,서대문구,136766,325871,47653
2016,마포구,169432,390887,48303
2016,양천구,177434,481845,52063
2016,강서구,245045,602104,71062
2016,구로구,172220,449600,55705
2016,금천구,104483,254654,32279
2016,영등포구,165729,406779,51844
2016,동작구,172506,413247,55231
2016,관악구,251955,525607,66952
2016,서초구,173970,451477,50984
2016,강남구,234080,572140,61931
2016,송파구,258382,664946,71064
2016,강동구,177460,448471,53195
2017,합계,4220082,10124579,1365126
2017,종로구,73594,164257,26182
2017,중구,60412,134593,21384
2017,용산구,107666,244444,36882
2017,성동구,132902,312711,41273
2017,광진구,160798,372298,43953
2017,동대문구,159938,366011,55718
2017,중랑구,179132,412780,59262
2017,성북구,187112,455407,66251
2017,강북구,142533,328002,56530
2017,도봉구,137378,346234,53488
2017,노원구,217619,558075,74243
2017,은평구,202839,491202,74559
2017,서대문구,137266,325028,49266
2017,마포구,169408,385783,49615
2017,양천구,176649,475018,55234
2017,강서구,254257,608255,76032
2017,구로구,171570,441559,58794
2017,금천구,106066,253491,34170
2017,영등포구,167355,402024,53981
2017,동작구,172995,408493,57255
2017,관악구,255352,520929,70046
2017,서초구,173594,445401,53205
2017,강남구,231612,561052,65060
2017,송파구,264628,671173,76582
2017,강동구,177407,440359,56161
2018,합계,4263868,10049607,1416131
2018,종로구,73735,163026,26742
2018,중구,61502,135633,22005
2018,용산구,108974,245090,37640
2018,성동구,137209,316463,42767
2018,광진구,162606,371063,45619
2018,동대문구,161820,364338,57165
2018,중랑구,180511,408147,61830
2018,성북구,186601,447687,67782
2018,강북구,143395,322915,58196
2018,도봉구,138087,341649,55964
2018,노원구,217655,548160,77096
2018,은평구,205001,487666,77420
2018,서대문구,138549,323080,50456
2018,마포구,172505,386359,50833
2018,양천구,176498,468145,58045
2018,강서구,258503,603611,79660
2018,구로구,172457,438486,61801
2018,금천구,107971,254021,35739
2018,영등포구,171085,403600,55673
2018,동작구,177176,409385,59479
2018,관악구,262222,520040,72249
2018,서초구,172918,438163,54751
2018,강남구,228775,547453,67085
2018,송파구,270866,673507,81364
2018,강동구,177247,431920,58770
